[2026-09-03T16:16:31.303+08:00] model, gpt-5.5-2026-04-24, mode, gpt-5, prompt-tokens, 7607, completion-tokens, 145, total-tokens, 7752, cost-ms, 5960, requestId, 3be311ce-3cc2-4746-b299-32f309499830, temperature, 0
[2026-09-03T17:36:06.845+08:00] model, ep-20260402170055-hm5ng, mode, doubao-seed, prompt-tokens, 1889, completion-tokens, 29, total-tokens, 1918, cost-ms, 2453, requestId, 021788428164852204d06e8b2548a7c4154039bc6686f46aec64b, temperature, 0
[2026-09-03T17:36:13.511+08:00] model, gpt-5.5-2026-04-24, mode, gpt-5, prompt-tokens, 7816, completion-tokens, 84, total-tokens, 7900, cost-ms, 5842, requestId, 64b2c13a-e913-4434-ad20-6d5b3a5f7307, temperature, 0
[2026-09-03T17:37:05.536+08:00] model, gpt-5.5-2026-04-24, mode, gpt-5, prompt-tokens, 7620, completion-tokens, 170, total-tokens, 7790, cost-ms, 5420, requestId, ed8ea03e-7f35-41bf-aff1-4014a193a312, temperature, 0
[2026-09-03T17:37:09.179+08:00] model, ep-20260402170055-hm5ng, mode, doubao-seed, prompt-tokens, 1881, completion-tokens, 27, total-tokens, 1908, cost-ms, 3593, requestId, 021788428226054cce2f590245cc66f153ffb4e067dd9adc32b97, temperature, 0
[2026-09-03T17:37:14.531+08:00] model, gpt-5.5-2026-04-24, mode, gpt-5, prompt-tokens, 7870, completion-tokens, 164, total-tokens, 8034, cost-ms, 4034, requestId, f186cd17-ce11-490f-bf2d-eb2a38b3cf6b, temperature, 0
[2026-09-03T17:37:17.684+08:00] model, ep-20260402170055-hm5ng, mode, doubao-seed, prompt-tokens, 1881, completion-tokens, 27, total-tokens, 1908, cost-ms, 3117, requestId, 021788428235091fe0a707ef3f9b5e67959b7b16465b017333374, temperature, 0
[2026-09-03T17:37:23.073+08:00] model, gpt-5.5-2026-04-24, mode, gpt-5, prompt-tokens, 8126, completion-tokens, 134, total-tokens, 8260, cost-ms, 4115, requestId, 959dd591-d574-46f2-8783-b59f218835eb, temperature, 0
[2026-09-03T17:38:09.240+08:00] model, gpt-5.5-2026-04-24, mode, gpt-5, prompt-tokens, 7597, completion-tokens, 129, total-tokens, 7726, cost-ms, 3803, requestId, ded12e57-ef55-436b-8742-ac25914c0aa6, temperature, 0
[2026-09-03T17:38:12.077+08:00] model, ep-20260402170055-hm5ng, mode, doubao-seed, prompt-tokens, 1887, completion-tokens, 28, total-tokens, 1915, cost-ms, 2734, requestId, 021788428289818fc31cf1149a41f9e2e487f42e77a882d6c11a9, temperature, 0
[2026-09-03T17:38:16.972+08:00] model, gpt-5.5-2026-04-24, mode, gpt-5, prompt-tokens, 7799, completion-tokens, 76, total-tokens, 7875, cost-ms, 3014, requestId, df9d1a6a-51e3-4645-a92f-b8c37803fad6, temperature, 0
[2026-09-03T17:38:25.089+08:00] model, gpt-5.5-2026-04-24, mode, gpt-5, prompt-tokens, 7595, completion-tokens, 125, total-tokens, 7720, cost-ms, 3706, requestId, b7eaa4f3-4100-4673-a47e-d3229164ed39, temperature, 0
[2026-09-03T17:38:27.876+08:00] model, ep-20260402170055-hm5ng, mode, doubao-seed, prompt-tokens, 1888, completion-tokens, 29, total-tokens, 1917, cost-ms, 2702, requestId, 0217884283056096b530e03bbf9c7afb77d75e2d708ef2aba7ded, temperature, 0
[2026-09-03T17:38:34.199+08:00] model, gpt-5.5-2026-04-24, mode, gpt-5, prompt-tokens, 7795, completion-tokens, 81, total-tokens, 7876, cost-ms, 5478, requestId, 8aa0a730-bcfe-47be-8cc9-41d0003419b1, temperature, 0
[2026-09-03T18:41:33.272+08:00] model, gpt-5.5-2026-04-24, mode, gpt-5, prompt-tokens, 7610, completion-tokens, 139, total-tokens, 7749, cost-ms, 3359, requestId, adc02fab-f8b0-4d90-a611-5e7a28c158d7, temperature, 0
[2026-09-03T18:41:36.209+08:00] model, ep-20260402170055-hm5ng, mode, doubao-seed, prompt-tokens, 1889, completion-tokens, 29, total-tokens, 1918, cost-ms, 2883, requestId, 02178843209378304b0ccf131519cd58d696b3659a7c8315d9d33, temperature, 0
[2026-09-03T18:41:40.449+08:00] model, gpt-5.5-2026-04-24, mode, gpt-5, prompt-tokens, 7828, completion-tokens, 160, total-tokens, 7988, cost-ms, 3413, requestId, 7b487f51-b580-48b0-ad5d-237f7c3adc3b, temperature, 0
[2026-09-03T18:41:43.069+08:00] model, ep-20260402170055-hm5ng, mode, doubao-seed, prompt-tokens, 1891, completion-tokens, 30, total-tokens, 1921, cost-ms, 2591, requestId, 021788432101120b9bff5c0a670f205ea0114bedab2d6aac3a2fd, temperature, 0
[2026-09-03T18:41:47.920+08:00] model, gpt-5.5-2026-04-24, mode, gpt-5, prompt-tokens, 8079, completion-tokens, 158, total-tokens, 8237, cost-ms, 3582, requestId, 30c88e30-dcdd-409a-bdf6-28074560234e, temperature, 0
[2026-09-03T18:41:50.649+08:00] model, ep-20260402170055-hm5ng, mode, doubao-seed, prompt-tokens, 1888, completion-tokens, 28, total-tokens, 1916, cost-ms, 2701, requestId, 0217884321083554672d5850db79b5dfd231f8dab0cf3019e987a, temperature, 0
[2026-09-03T18:41:56.822+08:00] model, gpt-5.5-2026-04-24, mode, gpt-5, prompt-tokens, 8340, completion-tokens, 107, total-tokens, 8447, cost-ms, 4870, requestId, bd631b7c-67a1-48b8-bcde-89cb7b61f71b, temperature, 0
[2026-09-03T18:42:37.120+08:00] model, gpt-5.5-2026-04-24, mode, gpt-5, prompt-tokens, 7621, completion-tokens, 176, total-tokens, 7797, cost-ms, 4622, requestId, ddff65e1-d460-4b2c-9bc1-c05d54b51fae, temperature, 0
[2026-09-03T18:42:40.648+08:00] model, ep-20260402170055-hm5ng, mode, doubao-seed, prompt-tokens, 1887, completion-tokens, 35, total-tokens, 1922, cost-ms, 3479, requestId, 0217884321575793b61d5dbd499ef2b85077a3fa43f03d72dbf78, temperature, 0
[2026-09-03T18:42:45.397+08:00] model, gpt-5.5-2026-04-24, mode, gpt-5, prompt-tokens, 7870, completion-tokens, 114, total-tokens, 7984, cost-ms, 3478, requestId, 8dfa7f17-baa7-4167-bfa7-98f0cc0e980a, temperature, 0
[2026-09-03T18:44:24.552+08:00] model, gpt-5.5-2026-04-24, mode, gpt-5, prompt-tokens, 7616, completion-tokens, 142, total-tokens, 7758, cost-ms, 3820, requestId, 83c3d94b-f830-4dee-a048-a612ba092d58, temperature, 0
[2026-09-03T18:44:28.016+08:00] model, ep-20260402170055-hm5ng, mode, doubao-seed, prompt-tokens, 1889, completion-tokens, 35, total-tokens, 1924, cost-ms, 3413, requestId, 021788432265053bf906dbcdf0a5244a4ac641c72aa1e1e237f0f, temperature, 0
[2026-09-03T18:44:33.717+08:00] model, gpt-5.5-2026-04-24, mode, gpt-5, prompt-tokens, 7831, completion-tokens, 157, total-tokens, 7988, cost-ms, 4857, requestId, 895d6da1-58df-4439-96ab-1a4d844c95da, temperature, 0
[2026-09-03T18:44:36.569+08:00] model, ep-20260402170055-hm5ng, mode, doubao-seed, prompt-tokens, 1890, completion-tokens, 34, total-tokens, 1924, cost-ms, 2812, requestId, 021788432274169a157b030a51160828134fc2b69086c45787ff5, temperature, 0
[2026-09-03T18:44:41.617+08:00] model, gpt-5.5-2026-04-24, mode, gpt-5, prompt-tokens, 8072, completion-tokens, 164, total-tokens, 8236, cost-ms, 3738, requestId, a7bafe56-abff-4b19-8336-47b7329b8f03, temperature, 0
[2026-09-03T18:44:45.015+08:00] model, ep-20260402170055-hm5ng, mode, doubao-seed, prompt-tokens, 1890, completion-tokens, 34, total-tokens, 1924, cost-ms, 3359, requestId, 021788432282108a3ba7fe2e44c8776e23c6ff2eba3b9f39f614c, temperature, 0
[2026-09-03T18:44:52.619+08:00] model, gpt-5.5-2026-04-24, mode, gpt-5, prompt-tokens, 8330, completion-tokens, 124, total-tokens, 8454, cost-ms, 6317, requestId, 05fb9a13-beda-4a18-8ba3-f1b53ea4263b, temperature, 0
[2026-09-03T18:44:55.617+08:00] model, ep-20260402170055-hm5ng, mode, doubao-seed, prompt-tokens, 1888, completion-tokens, 29, total-tokens, 1917, cost-ms, 2957, requestId, 021788432293246aa36f4c044a3db44e8496152eb91dfdbd53ac4, temperature, 0
[2026-09-03T18:44:59.978+08:00] model, gpt-5.5-2026-04-24, mode, gpt-5, prompt-tokens, 8557, completion-tokens, 83, total-tokens, 8640, cost-ms, 3580, requestId, 6b853029-53a7-4f57-b939-6fbba468ec1a, temperature, 0
[2026-09-03T18:45:37.397+08:00] model, gpt-5.5-2026-04-24, mode, gpt-5, prompt-tokens, 7598, completion-tokens, 150, total-tokens, 7748, cost-ms, 3580, requestId, d3726b10-a8b6-41fd-ab4a-174ee53ce1a7, temperature, 0
[2026-09-03T18:45:41.284+08:00] model, ep-20260402170055-hm5ng, mode, doubao-seed, prompt-tokens, 1881, completion-tokens, 34, total-tokens, 1915, cost-ms, 3834, requestId, 021788432338110164f82d043c89bc7a95374ce20e9ab79152b55, temperature, 0
[2026-09-03T18:45:45.963+08:00] model, gpt-5.5-2026-04-24, mode, gpt-5, prompt-tokens, 7820, completion-tokens, 94, total-tokens, 7914, cost-ms, 3403, requestId, 03dfdd2c-38e7-4dcb-adfd-1d9e8609437a, temperature, 0
[2026-09-03T19:19:25.658+08:00] model, gpt-5.5-2026-04-24, mode, gpt-5, prompt-tokens, 7599, completion-tokens, 130, total-tokens, 7729, cost-ms, 3090, requestId, c3f255a4-222e-4957-a3ad-93285f4b322f, temperature, 0
[2026-09-03T19:19:29.162+08:00] model, ep-20260402170055-hm5ng, mode, doubao-seed, prompt-tokens, 1891, completion-tokens, 29, total-tokens, 1920, cost-ms, 3473, requestId, 021788434366044c7ea78aa3104dc3b448786885e72ade92bb499, temperature, 0
[2026-09-03T19:19:32.882+08:00] model, gpt-5.5-2026-04-24, mode, gpt-5, prompt-tokens, 7805, completion-tokens, 80, total-tokens, 7885, cost-ms, 2910, requestId, 34050b35-a3ca-48cd-80bc-024954d381f1, temperature, 0
[2026-09-03T19:20:09.700+08:00] model, gpt-5.5-2026-04-24, mode, gpt-5, prompt-tokens, 7612, completion-tokens, 195, total-tokens, 7807, cost-ms, 4073, requestId, 88ef0a2e-5664-4288-acaf-e4dbd01fdb89, temperature, 0
[2026-09-03T19:20:13.260+08:00] model, ep-20260402170055-hm5ng, mode, doubao-seed, prompt-tokens, 1885, completion-tokens, 34, total-tokens, 1919, cost-ms, 3520, requestId, 021788434410205bc5b405cef4a7e650528052a0606edbdd36474, temperature, 0
[2026-09-03T19:20:19.854+08:00] model, gpt-5.5-2026-04-24, mode, gpt-5, prompt-tokens, 7884, completion-tokens, 176, total-tokens, 8060, cost-ms, 5299, requestId, 0794a5f0-aa1c-4217-a9c5-762be5910788, temperature, 0
[2026-09-03T19:20:22.629+08:00] model, ep-20260402170055-hm5ng, mode, doubao-seed, prompt-tokens, 1890, completion-tokens, 29, total-tokens, 1919, cost-ms, 2749, requestId, 021788434420197df84d29ab7537fe21646717cf695ef3e81e66d, temperature, 0
[2026-09-03T19:20:25.583+08:00] model, ep-20260402170055-hm5ng, mode, doubao-seed, prompt-tokens, 1890, completion-tokens, 29, total-tokens, 1919, cost-ms, 2926, requestId, 021788434422857df84d29ab7537fe21646717cf695ef3e19d7f5, temperature, 0
[2026-09-03T19:20:31.856+08:00] model, gpt-5.5-2026-04-24, mode, gpt-5, prompt-tokens, 8150, completion-tokens, 110, total-tokens, 8260, cost-ms, 3984, requestId, f328d5b0-e2c6-4ea5-9311-7ba2fcf969ee, temperature, 0
[2026-09-03T19:22:44.568+08:00] model, gpt-5.5-2026-04-24, mode, gpt-5, prompt-tokens, 7620, completion-tokens, 147, total-tokens, 7767, cost-ms, 6149, requestId, ec5ec5a7-0e23-471d-ab2e-fc380051113c, temperature, 0
[2026-09-03T19:22:47.812+08:00] model, ep-20260402170055-hm5ng, mode, doubao-seed, prompt-tokens, 1888, completion-tokens, 50, total-tokens, 1938, cost-ms, 3194, requestId, 0217884345649693fd66cf127b434498c6ffef5274528ece97b26, temperature, 0
[2026-09-03T19:22:55.480+08:00] model, gpt-5.5-2026-04-24, mode, gpt-5, prompt-tokens, 7845, completion-tokens, 191, total-tokens, 8036, cost-ms, 6863, requestId, d5ecf454-8666-4175-b76b-9c1b45d86af8, temperature, 0
[2026-09-03T19:22:58.481+08:00] model, ep-20260402170055-hm5ng, mode, doubao-seed, prompt-tokens, 1884, completion-tokens, 34, total-tokens, 1918, cost-ms, 2966, requestId, 02178843457610350f970e6b52efea9fef12df94c1881c0e39f08, temperature, 0
[2026-09-03T19:23:03.155+08:00] model, gpt-5.5-2026-04-24, mode, gpt-5, prompt-tokens, 8127, completion-tokens, 183, total-tokens, 8310, cost-ms, 3405, requestId, 8d1caead-da74-41a6-a613-5e80eaf51ec9, temperature, 0
[2026-09-03T19:23:06.921+08:00] model, ep-20260402170055-hm5ng, mode, doubao-seed, prompt-tokens, 1888, completion-tokens, 29, total-tokens, 1917, cost-ms, 3729, requestId, 02178843458350444888747f914634ed2b79c952403adc33175c8, temperature, 0
[2026-09-03T19:23:10.932+08:00] model, ep-20260402170055-hm5ng, mode, doubao-seed, prompt-tokens, 1894, completion-tokens, 53, total-tokens, 1947, cost-ms, 3981, requestId, 02178843458740544888747f914634ed2b79c952403adc362f764, temperature, 0
[2026-09-03T19:23:18.636+08:00] model, gpt-5.5-2026-04-24, mode, gpt-5, prompt-tokens, 8413, completion-tokens, 121, total-tokens, 8534, cost-ms, 5415, requestId, 29523ed5-0dc3-498b-a4dc-2c01b3ba5f9b, temperature, 0
